path,count,person
069803.png,20,4386
182960.png,29,7325
187891.png,9,6868
142184.png,26,3213
064549.png,15,1904
050554.png,30,1714
099045.png,30,3930
022607.png,30,7338
150340.png,21,8941
134071.png,30,4801
150600.png,30,8867
016532.png,26,5655
005667.png,30,6327
069956.png,30,4395
003658.png,24,8181
106291.png,30,371
063401.png,30,958
017210.png,30,5748
117134.png,30,4238
174333.png,5,1109
119914.png,30,4672
078529.png,22,9847
050866.png,30,7142
049358.png,5,2895
029861.png,30,8783
053401.png,25,4567
193450.png,30,8572
133194.png,30,3569
172493.png,19,568
151732.png,20,7715
142302.png,23,1896
161245.png,8,9643
017232.png,19,4513
112553.png,29,7766
123094.png,30,7201
002810.png,24,2768
201039.png,14,7130
149021.png,29,3628
077515.png,20,336
177114.png,21,4335
147230.png,16,4375
024332.png,29,2980
027402.png,27,375
087918.png,23,4287
101153.png,30,3098
016798.png,30,7228
122758.png,25,4387
063145.png,11,7196
161092.png,8,2687
127124.png,32,8968
161621.png,22,5107
092678.png,20,7863
070426.png,30,6633
173244.png,30,1154
145749.png,30,2464
182197.png,25,2037
176259.png,20,2107
039037.png,30,4863
068104.png,28,442
170843.png,30,1027
076592.png,29,745
193194.png,30,6195
134288.png,30,1377
065631.png,20,6138
070393.png,27,7312
126622.png,30,10093
193665.png,24,8734
049125.png,30,1446
069161.png,29,466
135558.png,30,9315
177607.png,30,1544
080316.png,30,632
071269.png,29,3823
068158.png,18,4348
016076.png,8,2521
134326.png,4,9460
155714.png,23,5603
068288.png,30,1633
113014.png,29,3919
177176.png,14,2700
163671.png,30,1210
101510.png,30,6322
030587.png,6,9581
135742.png,30,2318
002418.png,20,6759
162453.png,19,7485
140896.png,19,1575
182727.png,30,6472
040854.png,30,8195
197211.png,22,6656
187210.png,30,5876
182341.png,30,3524
053620.png,14,8113
049477.png,5,2686
177022.png,23,3997
068491.png,30,7153
047441.png,24,4358
001983.png,30,924
076103.png,30,6368
086028.png,30,5126
028175.png,29,594
084853.png,26,7827
008998.png,25,5950
131431.png,30,4905
156828.png,29,8087
022469.png,26,563
021872.png,20,2396
133492.png,25,1650
076976.png,30,5291
014486.png,30,7932
093663.png,20,4932
007478.png,30,4447
165942.png,19,2112
076985.png,22,3310
